day	bases
2010-10-03	160679863400
2010-10-04	83248388584
2010-10-05	402528959000
2010-10-06	227230203200
2010-10-07	509197352800
2010-10-08	419052674600
2010-10-09	230948642800
2010-10-11	458345392800
2010-10-12	544832323266
2010-10-13	137742936600
2010-10-14	91061292600
2010-10-15	111255744600
2010-10-18	134070884600
2010-10-19	1018672254400
2010-10-20	504633954200
2010-10-21	605680660600
2010-10-22	170412972800
2010-10-23	143813296000
2010-10-24	22121490800
2010-10-25	175698725600
2010-10-26	17926788200
2010-10-27	71648315933
2010-10-28	475998945377
2010-10-29	698703768600
2010-10-30	326695387600
2010-10-31	212498523800
2010-11-01	229352052200
2010-11-02	190100522000
2010-11-03	128650899797
2010-11-04	36179574821
2010-11-05	52261314000
2010-11-06	186522935600
2010-11-07	63975787000
2010-11-08	284498002600
2010-11-09	484800905000
2010-11-10	355319941400
2010-11-11	241573429900
2010-11-12	163959612800
2010-11-13	318179014712
2010-11-14	154699645400
2010-11-15	183398667800
2010-11-16	251517174986
2010-11-17	314726470400
2010-11-18	196465923200
2010-11-19	246362501400
2010-11-20	101171186600
2010-11-21	153936793800
2010-11-22	267875759200
2010-11-23	283642832400
2010-11-24	125499176600
2010-11-25	410535747600
2010-11-26	20962977000
2010-11-27	242333581200
2010-11-28	294165027800
2010-11-29	316607084500
2010-11-30	220905272300
2010-12-01	223920047600
2010-12-02	268238130600
2010-12-03	659498601600
2010-12-04	549875772200
2010-12-05	326942000750
2010-12-06	359813307339
2010-12-07	181841869977
2010-12-09	542106069200
2010-12-10	316074821800
2010-12-11	224132395600
2010-12-12	116098234000
2010-12-13	402498984200
2010-12-14	878613232575
2010-12-15	263599098400
2010-12-16	342683055900
2010-12-17	78608772800
2010-12-18	483543383800
2010-12-19	153802828600
2010-12-20	566696231000
2010-12-21	400778785400
2010-12-22	368826539600
2010-12-23	459096321200
2010-12-24	479719452200
2010-12-25	58344947600
2010-12-26	225547087800
2010-12-27	104421205800
2010-12-28	186958524500
2010-12-29	462696002400
2010-12-30	530468632600
2010-12-31	511435786400
2011-01-02	4510868000
2011-01-03	232480391800
2011-01-04	91807410400
2011-01-05	543825907200
2011-01-06	472419789600
2011-01-07	811770517200
2011-01-08	646421286800
2011-01-09	494009470788
2011-01-10	1016507326172
2011-01-11	825228187700
2011-01-12	253932906036
2011-01-13	631678532600
2011-01-14	452896724040
2011-01-15	1111189002478
2011-01-16	560038092870
2011-01-17	826143875000
2011-01-18	233393518800
2011-01-19	331597574246
2011-01-20	202962845346
2011-01-21	266186453580
2011-01-22	155614092400
2011-01-24	640294121600
2011-01-25	1010009517265
2011-01-26	744973872061
2011-01-27	318387772200
2011-01-28	274643044820
2011-01-29	632232109148
2011-01-30	619841664243
2011-01-31	832506620624
2011-02-01	820987932970
2011-02-02	748197512566
2011-02-03	799055302400
2011-02-04	616750819700
2011-02-05	305933930600
2011-02-06	411734709400
2011-02-07	1013248524200
2011-02-08	701516047600
2011-02-09	561347824600
2011-02-10	1097638304000
2011-02-11	303739368800
2011-02-12	545237707400
2011-02-13	269075646600
2011-02-14	720973550300
2011-02-15	759117647500
2011-02-16	580274199800
2011-02-17	869633128338
2011-02-18	767693607544
2011-02-19	564842052000
2011-02-20	164615872000
2011-02-21	495141412400
2011-02-22	556574254700
2011-02-23	296502512800
2011-02-24	264603595900
2011-02-25	928732167900
2011-02-26	356310470400
2011-02-27	562993812800
2011-02-28	802492633000
2011-03-01	970591310300
2011-03-02	404851147100
2011-03-03	544290456148
2011-03-04	344587659188
2011-03-05	569273248000
2011-03-06	538016959509
2011-03-07	647148325600
2011-03-08	491031044000
2011-03-09	97249410600
2011-03-10	473237357400
2011-03-11	751428410200
2011-03-12	353237682600
2011-03-13	452965728400
2011-03-14	343093941000
2011-03-15	513245751000
2011-03-16	514312944300
2011-03-17	590247221800
2011-03-18	649505452600
2011-03-19	372332268400
2011-03-20	281319145700
2011-03-21	936899573400
2011-03-22	834572533600
2011-03-23	889954301400
2011-03-24	238386189206
2011-03-25	683989758037
2011-03-26	1398025335600
2011-03-27	307735963400
2011-03-28	465260668068
2011-03-29	587372547019
2011-03-30	822576900401
2011-03-31	720800119700
2011-04-01	178542588600
2011-04-02	320649108400
2011-04-03	314327847200
2011-04-04	510977419100
2011-04-05	1453320319900
2011-04-06	297320380600
2011-04-07	682562649800
2011-04-08	559745220700
2011-04-09	1004782741600
2011-04-10	410775611800
2011-04-11	356971260800
2011-04-12	464537908000
2011-04-13	284275424000
2011-04-14	880542238400
2011-04-15	560302823000
2011-04-16	368252810400
2011-04-17	523358597000
2011-04-18	372326664375
2011-04-19	1080863831700
2011-04-20	353397374800
2011-04-21	1158130771900
2011-04-22	876703348500
2011-04-23	1542017987700
2011-04-24	193372796800
2011-04-25	323311617800
2011-04-26	307900647400
2011-04-27	598651246800
2011-04-28	600291483800
2011-04-29	479311884200
2011-04-30	1365399433000
2011-05-01	791030467000
2011-05-02	780701047700
2011-05-03	220888933700
2011-05-04	806252946840
2011-05-05	1174399190888
2011-05-06	649313374600
2011-05-07	518898717800
2011-05-08	829873079400
2011-05-09	705643817400
2011-05-10	246889867000
2011-05-11	746370943100
2011-05-12	604553177400
2011-05-13	753908829400
2011-05-14	1344471147400
2011-05-15	493070110800
2011-05-16	520022839800
2011-05-17	539344679400
2011-05-18	592702277500
2011-05-19	878996269400
2011-05-20	877288883272
2011-05-21	1071679832942
2011-05-22	1084090826320
2011-05-23	397427607400
2011-05-24	704159673152
2011-05-25	1381615512816
2011-05-26	726741821200
2011-05-27	258274156448
2011-05-28	1064748332800
2011-05-29	1696850242200
2011-05-30	517563325800
2011-05-31	854626651200
2011-06-01	1235901194600
2011-06-02	1639688642600
2011-06-03	423567452400
2011-06-04	424855284600
2011-06-05	846795280200
2011-06-06	1583933633755
2011-06-07	1103320492700
2011-06-08	1053904729400
2011-06-09	329131604000
2011-06-10	705580308200
2011-06-11	1360430699200
2011-06-12	517457933400
2011-06-13	451361434400
2011-06-14	1188621565800
2011-06-15	1298015024600
2011-06-16	1033702334400
2011-06-17	764370634600
2011-06-18	812108605200
2011-06-19	524790278200
2011-06-20	861092048128
2011-06-21	633355506000
2011-06-22	1110751757800
2011-06-23	1462903572200
2011-06-24	963187200400
2011-06-25	984394439400
2011-06-26	506288726800
2011-06-27	1437479555000
2011-06-28	1113832026000
2011-06-29	952273293600
2011-06-30	1019020655600
2011-07-01	1164567513800
2011-07-02	1272889475400
2011-07-03	120850586000
2011-07-04	211165356800
2011-07-05	179328014000
2011-07-06	1507498777200
2011-07-07	827158220800
2011-07-08	1620264191800
2011-07-09	101750999200
2011-07-10	830403483600
2011-07-11	1475216123000
2011-07-12	288930479000
2011-07-13	205417606600
2011-07-14	236470906200
2011-07-15	111063342800
2011-07-16	1379292995800
2011-07-17	105703718600
2011-07-18	236726604400
2011-07-19	1008239218320
2011-07-20	1890161411976
2011-07-21	1047428107400
2011-07-22	1201838527816
2011-07-23	1456771384808
2011-07-24	1467273055400
2011-07-25	759610498800
2011-07-26	990446692000
2011-07-27	788994961000
2011-07-28	1073404187000
2011-07-29	868975348000
2011-07-30	1231826825800
2011-07-31	169980514200
2011-08-01	1076036427200
2011-08-02	545844100000
2011-08-03	750796223200
2011-08-04	1156627205600
2011-08-05	1514938233000
2011-08-06	592724633600
2011-08-07	212992204400
2011-08-08	699995962600
2011-08-09	1323862332752
2011-08-10	960454731200
2011-08-11	543076037400
2011-08-12	2018615451600
2011-08-13	1201588858200
2011-08-14	13810685200
2011-08-15	493612920000
2011-08-16	187482957200
2011-08-17	563323747752
2011-08-18	2068802903400
2011-08-19	798668045800
2011-08-20	165651926200
2011-08-22	509839370600
2011-08-23	580466523416
2011-08-24	554604827168
2011-08-25	785361274784
2011-08-26	569683072520
2011-08-27	878268892040
2011-08-28	186311710680
2011-08-29	378022795560
2011-08-30	613623933080
2011-08-31	342000664136
2011-09-01	424677158248
2011-09-02	827045962360
2011-09-03	573982321504
2011-09-06	86109645400
2011-09-07	1313175375304
2011-09-08	1316391373640
2011-09-09	1036347136752
2011-09-10	1748501546728
2011-09-11	3303900994416
2011-09-12	402385522488
