Day	Gigabases
2009-03-30	10.47471147
2009-03-31	18.3964833
2009-04-01	32.77769745
2009-04-02	60.872260575
2009-04-03	42.893882686
2009-04-04	21.290361615
2009-04-05	30.8920995
2009-04-06	17.34617535
2009-04-07	19.78021835
2009-04-08	33.79076795
2009-04-09	30.9695213
2009-04-10	18.0562088
2009-04-12	13.44153645
2009-04-13	38.54028395
2009-04-14	32.043175655
2009-04-15	29.1572409
2009-04-16	27.16407
2009-04-17	7.16559215
2009-04-18	17.279564292
2009-04-19	55.7239764
2009-04-20	14.1477059
2009-04-21	.39248385
2009-04-22	6.558187378
2009-04-23	54.143077218
2009-04-25	56.6128039
2009-04-26	5.4070761
2009-04-27	25.0706331
2009-04-28	23.75329865
2009-04-29	102.9238357
2009-04-30	47.000738546
2009-05-04	45.122828943
2009-05-05	12.741722042
2009-05-06	29.6866609
2009-05-07	19.0763561
2009-05-08	18.144787275
2009-05-09	2.7789054
2009-05-10	88.364076916
2009-05-11	76.755368555
2009-05-12	22.85334435
2009-05-13	49.7090886
2009-05-14	17.95584375
2009-05-15	11.687374055
2009-05-16	20.779800861
2009-05-17	30.30257625
2009-05-18	2.36286345
2009-05-19	37.04158175
2009-05-20	55.656832245
2009-05-21	30.17865344
2009-05-22	6.3327464
2009-05-23	14.3902964
2009-05-24	23.8953212
2009-05-26	5.00668135
2009-05-27	7.907716
2009-05-28	129.77332245
2009-05-29	117.08080236
2009-05-30	4.951731
2009-05-31	69.5374929
2009-06-01	2.47823085
2009-06-02	133.86577935
2009-06-03	194.419551651
2009-06-04	102.652977612
2009-06-05	15.13807155
2009-06-06	37.3532508
2009-06-07	57.32440815
2009-06-08	40.62635781
2009-06-09	17.82145965
2009-06-10	6.3607107
2009-06-11	89.568910975
2009-06-12	49.713966825
2009-06-13	50.3448036
2009-06-14	32.76987935
2009-06-15	115.2265217
2009-06-16	24.3113845
2009-06-18	78.8630754
2009-06-20	85.39973655
2009-06-21	60.08355435
2009-06-22	15.43987515
2009-06-23	23.418201525
2009-06-24	11.35994235
2009-06-25	48.38099985
2009-06-26	143.25035475
2009-06-27	18.3963513
2009-06-28	59.83584016
2009-06-29	6.79024395
2009-06-30	63.458512128
2009-07-01	45.31645296
2009-07-02	134.64488702
2009-07-03	71.696973086
2009-07-04	32.3947332
2009-07-05	53.09817921
2009-07-06	55.521942717
2009-07-07	56.738253732
2009-07-08	14.20514205
2009-07-09	156.031054675
2009-07-13	46.2545982
2009-07-14	5.7013725
2009-07-15	1.8897809
2009-07-16	5.6642312
2009-07-17	40.09146645
2009-07-19	28.14158985
2009-07-20	45.29295595
2009-07-21	670.942565091
2009-07-22	65.6677932
2009-07-23	47.6212098
2009-07-24	63.60581565
2009-07-26	88.6107243
2009-07-27	182.8115737
2009-07-28	67.940939034
2009-07-29	23.732905251
2009-07-30	141.133519958
2009-07-31	53.50869755
2009-08-01	55.2907236
2009-08-03	57.2591031
2009-08-04	70.4858616
2009-08-05	2.76571395
2009-08-06	219.49135509
2009-08-07	100.802863758
2009-08-08	29.75586381
2009-08-09	130.4063774
2009-08-11	25.42121595
2009-08-12	193.10923815
2009-08-13	130.362195
2009-08-14	44.0076936
2009-08-17	26.364099835
2009-08-18	45.688197
2009-08-19	138.1767793
2009-08-20	71.32916003
2009-08-21	26.597357625
2009-08-22	17.7153384
2009-08-23	17.79879225
2009-08-24	88.7925507
2009-08-25	93.466940907
2009-08-26	89.869737499
2009-08-27	117.277808722
2009-08-28	166.34999256
2009-08-29	48.234974435
2009-08-30	.0122166
2009-08-31	183.964027388
2009-09-01	34.9303864
2009-09-02	105.3587073
2009-09-03	159.9852903
2009-09-04	181.692385884
2009-09-05	21.6656112
2009-09-08	110.801093175
2009-09-09	40.0684893
2009-09-11	15.580714175
